Province/Territory,Declared state of emergency,Closed K-12 schools,Closed daycares,Restricted visits to long-term care homes,Banned visits to long-term care homes,Closed non-essential businesses,Restricted restaurant capacity,Closed restaurants except take out,Closed bars,Closed cannabis and liquor stores,Closed gyms,Closed movie theaters,Froze evictions,Ordered freezing utility shut offs,Fines for not respecting social distancing,Fines for not respecting self-isolation,Fines for profiteering,Intra-provincial travel restrictions,Restrictions on Interprovincial/territorial travel,Order self-isolation for domestic travellers,Released modelling of pandemic
Nunavut,18-03-2020,17-03-2020,17-03-2020,1/4/2020,1/4/2020,NA,20-03-2020,20-03-2020,20-03-2020,NA,NA,NA,NA,27-04-2020,NA,30-03-2020,NA,NA,24-03-2020,24-03-2020,NA
"Note,,""ON, NS, PEI: school closures became effective on the first day of March Break (16th of March), but were only applied on the 23rd of March when students were supposed to return from the break. YK: Same, but became effective in the middle of March break on 18th of March"",""In BC, the government has asked parents who can care for their children at home to do so, but hasn't outright closed daycares. YK: restrictions on daycares, owners can close them if they prefer, but government asks to keep spaces open for children of essential workers. NT: Daycares are considered an essential service and are asked to stay open."",""NL, NS, NB, QC, MB, SK: traveled in past 14-days; ON: screening of visitors; AB: one essential visitor; BC: limited to those who routinely provide assistance; SK update 17-03-2020: limited to immediate family"",""YK: Unless family-member is gravely ill or at end of life. NT: No visitors to long-term care homes, but 1 visitor allowed for acute care homes."",""BC, NS and NT, non-essential businesses are allowed to operate if they maintain social distancing. YK and NU: only closed restaurants bars and personal services businesses."",,,,""ON closed cannabis, but not liquor stores"",BC: No outright closure order though some regional authorities have closed indoor gyms.,""For BC, NS and YK, no clear order to close, though all movie theaters appear to have closed on their own. NU: The only theatre in the province is under renovation, but the province has closed other spectator venues such as sports and concerts. "",,""In NS, NL and NB, the utilities corporation took the decision."",,,""ON: fines for businesses increasing profit; BC: fines for resale of essential goods; SK: prosecution, not fines."",,""PE, NS, NB, QC, MB, YK: checkpoints on land borders. NT, NU: banned all non-residents from entering the territory (YK Starting April 17)."",""MB: """"strongly advised"""", NU: self-isolation mandatory for 14-days prior to boarding flight to Nunavut."",",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Province,Policy,Date,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Declared state of emergency,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Declared state of emergency,16-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Declared state of emergency,22-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Declared state of emergency,19-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Declared state of emergency,14-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Declared state of emergency,17-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Declared state of emergency,20-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Declared state of emergency,18-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Declared state of emergency,17-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Declared state of emergency,17-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Declared state of emergency,18-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Declared state of emergency,18-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Declared state of emergency,18-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed K-12 schools,23-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed K-12 schools,20-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed K-12 schools,16-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed K-12 schools,18-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Closed K-12 schools,18-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed K-12 schools,26-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Closed K-12 schools,17-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed daycares,16-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed daycares,17-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed daycares,15-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed daycares,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed daycares,13-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed daycares,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed daycares,20-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed daycares,NA,,,,,,,,,,,,,,,,,,,
Alberta,Closed daycares,16-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed daycares,NA,,,,,,,,,,,,,,,,,,,
Yukon,Closed daycares,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed daycares,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Closed daycares,17-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Restricted visits to long-term care homes,12/3/2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Restricted visits to long-term care homes,15-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Restricted visits to long-term care homes,9/3/2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Restricted visits to long-term care homes,11/3/2020,,,,,,,,,,,,,,,,,,,
Quebec,Restricted visits to long-term care homes,13-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Restricted visits to long-term care homes,9/3/2020,,,,,,,,,,,,,,,,,,,
Manitoba,Restricted visits to long-term care homes,16-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Restricted visits to long-term care homes,13-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Restricted visits to long-term care homes,20-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Restricted visits to long-term care homes,17-03-2020 ,,,,,,,,,,,,,,,,,,,
Yukon,Restricted visits to long-term care homes,16-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Restricted visits to long-term care homes,16-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Restricted visits to long-term care homes,1/4/2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Banned visits to long-term care homes,23-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Banned visits to long-term care homes,15-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Banned visits to long-term care homes,15-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Banned visits to long-term care homes,NA,,,,,,,,,,,,,,,,,,,
Quebec,Banned visits to long-term care homes,14-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Banned visits to long-term care homes,14-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Banned visits to long-term care homes,17-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Banned visits to long-term care homes,NA,,,,,,,,,,,,,,,,,,,
Alberta,Banned visits to long-term care homes,6/4/2020,,,,,,,,,,,,,,,,,,,
British Columbia,Banned visits to long-term care homes,NA,,,,,,,,,,,,,,,,,,,
Yukon,Banned visits to long-term care homes,16-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Banned visits to long-term care homes,17-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Banned visits to long-term care homes,1/4/2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed non-essential businesses,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed non-essential businesses,18-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed non-essential businesses,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed non-essential businesses,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed non-essential businesses,25-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed non-essential businesses,25-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed non-essential businesses,1/4/2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed non-essential businesses,26-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed non-essential businesses,27-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed non-essential businesses,NA,,,,,,,,,,,,,,,,,,,
Yukon,Closed non-essential businesses,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed non-essential businesses,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Closed non-essential businesses,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed non-essential businesses,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Restricted restaurant capacity,17-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Restricted restaurant capacity,17-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Restricted restaurant capacity,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Restricted restaurant capacity,15-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Restricted restaurant capacity,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Restricted restaurant capacity,20-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Restricted restaurant capacity,23-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Restricted restaurant capacity,17-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Restricted restaurant capacity,17-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Restricted restaurant capacity,22-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Restricted restaurant capacity,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Restricted restaurant capacity,20-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed restaurants except take out,23-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed restaurants except take out,17-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed restaurants except take out,17-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed restaurants except take out,19-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed restaurants except take out,22-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed restaurants except take out,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed restaurants except take out,1/4/2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed restaurants except take out,23-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed restaurants except take out,27-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed restaurants except take out,20-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Closed restaurants except take out,26-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed restaurants except take out,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Closed restaurants except take out,20-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed bars,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed bars,17-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed bars,17-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed bars,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed bars,15-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed bars,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed bars,1/4/2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed bars,23-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed bars,17-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed bars,17-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Closed bars,22-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed bars,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Closed bars,20-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed cannabis and liquor stores,21-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed cannabis and liquor stores,19-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Quebec,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Ontario,Closed cannabis and liquor stores,5/4/2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Alberta,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
British Columbia,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Yukon,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Closed cannabis and liquor stores,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed gyms,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed gyms,18-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed gyms,18-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed gyms,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed gyms,15-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed gyms,17-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed gyms,20-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed gyms,23-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed gyms,17-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed gyms,NA,,,,,,,,,,,,,,,,,,,
Yukon,Closed gyms,22-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed gyms,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Closed gyms,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Closed movie theaters,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Closed movie theaters,17-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Closed movie theaters,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Closed movie theaters,16-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Closed movie theaters,15-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Closed movie theaters,17-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Closed movie theaters,1/4/2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Closed movie theaters,23-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Closed movie theaters,17-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Closed movie theaters,NA,,,,,,,,,,,,,,,,,,,
Yukon,Closed movie theaters,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Closed movie theaters,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Closed movie theaters,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Froze evictions,26-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Froze evictions,30-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Froze evictions,19-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Froze evictions,19-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Froze evictions,15-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Froze evictions,16-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Froze evictions,24-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Froze evictions,26-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Froze evictions,27-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Froze evictions,25-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Froze evictions,26-03-2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Froze evictions,13-04-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Froze evictions,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Ordered freezing utility shut offs,24-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Ordered freezing utility shut offs,NA,,,,,,,,,,,,,,,,,,,
Nova Scotia,Ordered freezing utility shut offs,17-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Ordered freezing utility shut offs,24-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Ordered freezing utility shut offs,22-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Ordered freezing utility shut offs,19-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Ordered freezing utility shut offs,20-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Ordered freezing utility shut offs,18-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Ordered freezing utility shut offs,18-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Ordered freezing utility shut offs,20-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Ordered freezing utility shut offs,6/4/2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Ordered freezing utility shut offs,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Ordered freezing utility shut offs,27-04-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Fines for not respecting social distancing,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Fines for not respecting social distancing,23-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Fines for not respecting social distancing,22-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Fines for not respecting social distancing,1/4/2020,,,,,,,,,,,,,,,,,,,
Quebec,Fines for not respecting social distancing,13-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Fines for not respecting social distancing,20-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Fines for not respecting social distancing,9/4/2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Fines for not respecting social distancing,NA,,,,,,,,,,,,,,,,,,,
Alberta,Fines for not respecting social distancing,25-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Fines for not respecting social distancing,26-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Fines for not respecting social distancing,2/4/2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Fines for not respecting social distancing,11/4/2020,,,,,,,,,,,,,,,,,,,
Nunavut,Fines for not respecting social distancing,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Fines for not respecting self-isolation,18-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Fines for not respecting self-isolation,23-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Fines for not respecting self-isolation,22-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Fines for not respecting self-isolation,1/4/2020,,,,,,,,,,,,,,,,,,,
Quebec,Fines for not respecting self-isolation,13-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Fines for not respecting self-isolation,20-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Fines for not respecting self-isolation,NA,,,,,,,,,,,,,,,,,,,
Saskatchewan,Fines for not respecting self-isolation,20-03-2020,,,,,,,,,,,,,,,,,,,
Alberta,Fines for not respecting self-isolation,25-03-2020,,,,,,,,,,,,,,,,,,,
British Columbia,Fines for not respecting self-isolation,26-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Fines for not respecting self-isolation,2/4/2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Fines for not respecting self-isolation,21-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Fines for not respecting self-isolation,30-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Nova Scotia,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Quebec,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Ontario,Fines for profiteering,28-03-2020,,,,,,,,,,,,,,,,,,,
Manitoba,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Saskatchewan,Fines for profiteering,13-04-2020,,,,,,,,,,,,,,,,,,,
Alberta,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
British Columbia,Fines for profiteering,26-03-2020,,,,,,,,,,,,,,,,,,,
Yukon,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Fines for profiteering,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Nova Scotia,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
New Brunswick,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Quebec,Intra-provincial travel restrictions,28-03-2020,,,,,,,,,,,,,,,,,,,
Ontario,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Manitoba,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Saskatchewan,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Alberta,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
British Columbia,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Yukon,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Northwest Territories,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Nunavut,Intra-provincial travel restrictions,NA,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Restrictions on Interprovincial/territorial travel,NA,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Restrictions on Interprovincial/territorial travel,21-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Restrictions on Interprovincial/territorial travel,23-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Restrictions on Interprovincial/territorial travel,25-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Restrictions on Interprovincial/territorial travel,1/4/2020,,,,,,,,,,,,,,,,,,,
Ontario,Restrictions on Interprovincial/territorial travel,NA,,,,,,,,,,,,,,,,,,,
Manitoba,Restrictions on Interprovincial/territorial travel,27-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Restrictions on Interprovincial/territorial travel,NA,,,,,,,,,,,,,,,,,,,
Alberta,Restrictions on Interprovincial/territorial travel,NA,,,,,,,,,,,,,,,,,,,
British Columbia,Restrictions on Interprovincial/territorial travel,NA,,,,,,,,,,,,,,,,,,,
Yukon,Restrictions on Interprovincial/territorial travel,6/4/2020,,,,,,,,,,,,,,,,,,,
Northwest Territories,Restrictions on Interprovincial/territorial travel,21-03-2020,,,,,,,,,,,,,,,,,,,
Nunavut,Restrictions on Interprovincial/territorial travel,24-03-2020,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,Order self-isolation for domestic travellers,20-03-2020,,,,,,,,,,,,,,,,,,,
Prince Edward Island,Order self-isolation for domestic travellers,25-03-2020,,,,,,,,,,,,,,,,,,,
Nova Scotia,Order self-isolation for domestic travellers,22-03-2020,,,,,,,,,,,,,,,,,,,
New Brunswick,Order self-isolation for domestic travellers,25-03-2020,,,,,,,,,,,,,,,,,,,
Quebec,Order self-isolation for domestic travellers,NA,,,,,,,,,,,,,,,,,,,
Ontario,Order self-isolation for domestic travellers,NA,,,,,,,,,,,,,,,,,,,
Manitoba,Order self-isolation for domestic travellers,25-03-2020,,,,,,,,,,,,,,,,,,,
Saskatchewan,Order self-isolation for domestic travellers,NA,,,,,,,,,,,,,,,,,,,
